Age,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Total,308745538,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
0,3944153,3944160,3951430,3963092,3926570,3931258,3954786,3983965,3955192,3893945,3848208
1,3978070,3978090,3957730,3966225,3977550,3942696,3948892,3973192,4003594,3973803,3912900
2,4096929,4096939,4090621,3970654,3978924,3991745,3958708,3966330,3991543,4020825,3991437
3,4119040,4119051,4111688,4101644,3981532,3991019,4005932,3974354,3982719,4006802,4036562
4,4063170,4063186,4077346,4121488,4111490,3992496,4004035,4020264,3989317,3996592,4021168
5,4056858,4056872,4064521,4087054,4131049,4121876,4004571,4017585,4034325,4002285,4010118
6,4066381,4066412,4072904,4074533,4096633,4141130,4133374,4017408,4030894,4046625,4015259
7,4030579,4030594,4042990,4082824,4084179,4106760,4152671,4145890,4030394,4042957,4059363
8,4046486,4046497,4025502,4052777,4092566,4094521,4118353,4165010,4158761,4042250,4055624
9,4148353,4148369,4125312,4035330,4062734,4103065,4106085,4130850,4178022,4170820,4055278
10,4172541,4172559,4186957,4135289,4045469,4072986,4114582,4118758,4144072,4190254,4184077
11,4114415,4114443,4115419,4197147,4145757,4055866,4084486,4126853,4131514,4155802,4203007
12,4106243,4106261,4113237,4125764,4207720,4156304,4067268,4096692,4139568,4143257,4168485
13,4118013,4118055,4119551,4123876,4136225,4218387,4168198,4080243,4110339,4152283,4156887
14,4165982,4166059,4145478,4130934,4134916,4147757,4231541,4182341,4095187,4124198,4167071
15,4242820,4242946,4230871,4158361,4143301,4148033,4163079,4248058,4199515,4111285,4141218
16,4316139,4316311,4313059,4246797,4173683,4159459,4166238,4182107,4267900,4218086,4130744
17,4395295,4395475,4376154,4334275,4267257,4194516,4182293,4189775,4206845,4290946,4241936
18,4500855,4501114,4490362,4401361,4358454,4292191,4221746,4211012,4219736,4234551,4319722
19,4585234,4585701,4570771,4518285,4427572,4384726,4321249,4252218,4241532,4248464,4263601
20,4519129,4519556,4567982,4598254,4546565,4452932,4411460,4349935,4280974,4266986,4273822
21,4354294,4354603,4387446,4594238,4629781,4573739,4480861,4441331,4379876,4306515,4292514
22,4264642,4264946,4286369,4413183,4625563,4660176,4604726,4514270,4474812,4408804,4334743
23,4198571,4198859,4216566,4312279,4443715,4655563,4692962,4639623,4549421,4504903,4438724
24,4249363,4249609,4243118,4242222,4342062,4472295,4687077,4727273,4673465,4578456,4533776
25,4262350,4262583,4288920,4267974,4271553,4369332,4502023,4720482,4760640,4701396,4606281
26,4152305,4152598,4160369,4311761,4295651,4297710,4398014,4534640,4752063,4787673,4728714
27,4248869,4249132,4236698,4181532,4337435,4320571,4325770,4429797,4565290,4777879,4813980
28,4215249,4215502,4247187,4256204,4204927,4359532,4346330,4355768,4458321,4588903,4801711
29,4223076,4223292,4209988,4264567,4277615,4225749,4383356,4374175,4382285,4480324,4611070
30,4285668,4285877,4303926,4225300,4283270,4296809,4248227,4409166,4399278,4402859,4501282
31,3970218,3970416,4042249,4317294,4241565,4299447,4315821,4271733,4431220,4417496,4421549
32,3986847,3987041,3967254,4053592,4331495,4255692,4315699,4336582,4291082,4446712,4433749
33,3880150,3880318,3933189,3977570,4065734,4343476,4269846,4334080,4353926,4305136,4461246
34,3839216,3839372,3821850,3942114,3988622,4075870,4355717,4286357,4349411,4366240,4318192
35,3956434,3956625,3947964,3829864,3951867,3997698,4085952,4369587,4299148,4358839,4376401
36,3802087,3802236,3829828,3954144,3837924,3959048,4006330,4097338,4379832,4306255,4366923
37,3934445,3934593,3896345,3834765,3960899,3844203,3966497,4016464,4106086,4385828,4313086
38,4121880,4122089,4079778,3899899,3840318,3965886,3850942,3975186,4024381,4111226,4391406
39,4364796,4364949,4323965,4082351,3903922,3844285,3971497,3858343,3981529,4028306,4115771
40,4383274,4383450,4386945,4324162,4084648,3906127,3848087,3976967,3863180,3983824,4031314
41,4114985,4115155,4163043,4385306,4324443,4085581,3908070,3852433,3980464,3864969,3986156
42,4076104,4076260,4082337,4160611,4384058,4323279,4086109,3910645,3854650,3980816,3866067
43,4105105,4105285,4093405,4079076,4158255,4380908,4321631,4086686,3910593,3853250,3979609
44,4211496,4211684,4178062,4089258,4075927,4154366,4377751,4320358,4085258,3907893,3851155
45,4508868,4509044,4438112,4171964,4084573,4070522,4149789,4373961,4316196,4080348,3904041
46,4519761,4519941,4529302,4430147,4165313,4077717,4064470,4144580,4368043,4309081,4074459
47,4535265,4535450,4535096,4519326,4421446,4157081,4070739,4058161,4137815,4359465,4301318
48,4538796,4538968,4534267,4523052,4508452,4410792,4147945,4062643,4049911,4128210,4349714
49,4605901,4606060,4598676,4520386,4510206,4495612,4399110,4137833,4052713,4039082,4117603
50,4660295,4660457,4645792,4582646,4505720,4495099,4481212,4385725,4125155,4039446,4026474
51,4464631,4464779,4498619,4628125,4565482,4488150,4478223,4465234,4370171,4109944,4025069
52,4500846,4500963,4480236,4479451,4608768,4545746,4469592,4460502,4447792,4352576,4094079
53,4380354,4380489,4439092,4459275,4458809,4587606,4525069,4449929,4440759,4427431,4333375
54,4291999,4292120,4288142,4416457,4437155,4436394,4564933,4502864,4428032,4418178,4405567
55,4254709,4254809,4258615,4264196,4392433,4412604,4412051,4540553,4478253,4403109,4393983
56,4037513,4037601,4092857,4233621,4239081,4365668,4385972,4385823,4513951,4451318,4377130
57,3936386,3936450,3946260,4066825,4207066,4211538,4337386,4357770,4357590,4484471,4422810
58,3794928,3795015,3802193,3919214,4039562,4177929,4182257,4307288,4327523,4326625,4453038
59,3641269,3641349,3694048,3774178,3891097,4009527,4147266,4151179,4275027,4294387,4294024
60,3621131,3621214,3616506,3665273,3744816,3860100,3977732,4114449,4117822,4239714,4259361
61,3492596,3492656,3519939,3586699,3634742,3712717,3826919,3943386,4079088,4081356,4202894
62,3563182,3563260,3494915,3488021,3554736,3601304,3678575,3791492,3907097,4040739,4043396
63,3483884,3483943,3652013,3459942,3453979,3519573,3565726,3641819,3753816,3867581,4000235
64,2657131,2657194,2705937,3613032,3423248,3416465,3482828,3527662,3602450,3712619,3825765
65,2680761,2680815,2678384,2674636,3572333,3383252,3377646,3443249,3487278,3560160,3669600
66,2639141,2639209,2621243,2645187,2641789,3527836,3341609,3336059,3401348,3444063,3516436
67,2649365,2649426,2693617,2585272,2609972,2606024,3480983,3296821,3291714,3356013,3398755
68,2323672,2323736,2359748,2653141,2546904,2571601,2568311,3431071,3249412,3244182,3307833
69,2142324,2142381,2167780,2321074,2610392,2505262,2531221,2527820,3377704,3198582,3194269
70,2043121,2043178,2062528,2128951,2280611,2563981,2462460,2487798,2485189,3320393,3144466
71,1949323,1949391,1953545,2022303,2088775,2236637,2517174,2416513,2443419,2440099,3260552
72,1864275,1864324,1883778,1911721,1980516,2044816,2192013,2465904,2369270,2395620,2392283
73,1736960,1737022,1750273,1839514,1868201,1934694,1999978,2142810,2412822,2318273,2344633
74,1684487,1684563,1685969,1705013,1793547,1820505,1887914,1950617,2091825,2355298,2263489
75,1620077,1620158,1631858,1638171,1658243,1743292,1772007,1836635,1899583,2036694,2293604
76,1471070,1471157,1481686,1580932,1588625,1607051,1692284,1718862,1783719,1844686,1978012
77,1455330,1455414,1449144,1430449,1528226,1534528,1555048,1636338,1664040,1726841,1786181
78,1400123,1400205,1402187,1394194,1377628,1470808,1479551,1498120,1578721,1605304,1666402
79,1371195,1371312,1354927,1343437,1337551,1320178,1412549,1419595,1439602,1517003,1542867
80,1308511,1308608,1319737,1292169,1282872,1276090,1262012,1349127,1358070,1377095,1451583
81,1212865,1212976,1212614,1252185,1227637,1217537,1214231,1199043,1284470,1292937,1311488
82,1161421,1161546,1158364,1143712,1183074,1158273,1151948,1147239,1134886,1215766,1224165
83,1074809,1074941,1081451,1085157,1073311,1108791,1088632,1080801,1079060,1067044,1143669
84,985721,985854,987041,1005202,1010674,997909,1034570,1013576,1008889,1007456,996403
85,914723,914871,915028,909276,928296,931565,923190,955170,938258,933883,933260
86,814211,814341,821557,834819,831653,847475,853929,844041,876311,860644,857115
87,712908,713046,721221,741394,755792,751027,769072,772675,766435,795887,781990
88,640619,640765,636663,643159,663520,674795,673928,688044,693994,688305,715379
89,537998,538160,546207,560012,568485,584825,598390,595185,610573,615862,611251
90,435563,435695,448338,473804,487817,494117,511592,521392,520996,534601,539658
91,344987,345128,344452,382641,406758,417092,426027,438974,450017,449471,461798
92,281389,281498,288836,289218,322900,342273,353533,359665,372864,382354,382081
93,216978,217087,219062,238006,240088,266525,285467,292763,300374,311381,319838
94,169449,169525,170780,176651,193754,194772,217821,232218,239615,246146,255397
95,129717,129792,131081,135042,140608,153823,156572,173128,186678,192195,198075
96,95223,95288,97166,101251,105384,108873,120940,122354,135740,146772,150910
97,68138,68168,68894,73260,77147,79912,83389,92140,94466,103947,113174
98,45900,45938,47034,50661,54488,56992,59979,61687,69296,71460,77872
99,32266,32289,32179,33632,36765,39248,41679,43464,44967,50722,52778
100+,53364,53412,54410,57703,61803,66139,72136,76798,82379,86784,93927
